 X	Y	Z
PF3D7_0100100	0.358894	0.120871	0.107271
PF3D7_0100200	0.356576	0.083654	0.093874
PF3D7_0100300	0.366940	0.097076	0.079452
PF3D7_0100400	0.374553	0.117058	0.065022
PF3D7_0100500	0.360451	0.115275	0.071775
PF3D7_0100600	0.353052	0.114340	0.075319
PF3D7_0100700	0.337844	0.112417	0.082601
PF3D7_0100800	0.318406	0.111964	0.093615
PF3D7_0100900	0.329376	0.129016	0.101694
PF3D7_0101000	0.345833	0.154597	0.113814
PF3D7_0101100	0.361597	0.179101	0.125423
PF3D7_0101200	0.348894	0.174543	0.118853
PF3D7_0101300	0.327953	0.165099	0.107667
PF3D7_0101400	0.317759	0.160502	0.102221
PF3D7_0101500	0.298734	0.151922	0.092059
PF3D7_0101600	0.298071	0.160992	0.075961
PF3D7_0101700	0.306867	0.177171	0.060138
PF3D7_0101800	0.313294	0.188994	0.048575
PF3D7_0101900	0.315230	0.200244	0.034570
PF3D7_0102000	0.296125	0.193887	0.029544
PF3D7_0102100	0.281917	0.189159	0.025806
PF3D7_0102200	0.247708	0.178318	0.015809
PF3D7_0102300	0.239386	0.181280	0.003088
PF3D7_0102400	0.234068	0.183174	-0.005042
PF3D7_0102500	0.236977	0.174619	-0.023658
PF3D7_0102600	0.253210	0.152326	-0.049493
PF3D7_0102700	0.235825	0.133372	-0.034392
PF3D7_0102800	0.227805	0.124667	-0.027414
PF3D7_0102900	0.218195	0.114237	-0.019053
PF3D7_0103000	0.215909	0.109261	-0.032362
PF3D7_0103100	0.213987	0.103503	-0.053221
PF3D7_0103200	0.209299	0.105350	-0.066684
PF3D7_0103300	0.200618	0.124676	-0.054157
PF3D7_0103400	0.187822	0.153255	-0.036127
PF3D7_0103500	0.177225	0.181196	-0.041534
PF3D7_0103600	0.174281	0.201027	-0.055716
PF3D7_0103700	0.175969	0.210221	-0.069189
PF3D7_0103800	0.177079	0.216264	-0.078044
PF3D7_0103900	0.181387	0.196350	-0.085801
PF3D7_0104000	0.184159	0.183393	-0.090707
PF3D7_0104100	0.188377	0.163679	-0.098172
PF3D7_0104200	0.167181	0.166422	-0.095150
PF3D7_0104300	0.126266	0.161573	-0.081721
PF3D7_0104400	0.144277	0.140051	-0.093739
PF3D7_0104500	0.152011	0.137233	-0.101889
PF3D7_0104600	0.166744	0.131865	-0.117417
PF3D7_0104700	0.172871	0.120612	-0.125614
PF3D7_0104800	0.162598	0.098761	-0.119728
PF3D7_0104900	0.158170	0.089342	-0.117191
PF3D7_0105000	0.157264	0.087415	-0.116672
PF3D7_0105100	0.154643	0.085614	-0.119907
PF3D7_0105200	0.154664	0.091329	-0.127033
PF3D7_0105300	0.154692	0.099237	-0.136893
PF3D7_0105401	0.154711	0.104441	-0.143383
PF3D7_0105402	0.154711	0.104441	-0.143383
PF3D7_0105500	0.154736	0.111271	-0.151899
PF3D7_0105600	0.146180	0.118360	-0.153162
PF3D7_0105700	0.099861	0.130039	-0.141040
PF3D7_0105800	0.068523	0.134051	-0.151023
PF3D7_0105900	0.061562	0.148115	-0.142412
PF3D7_0106000	0.056007	0.159337	-0.135540
PF3D7_0106100	0.054551	0.168391	-0.132849
PF3D7_0106200	0.067878	0.159003	-0.146786
PF3D7_0106300	0.085710	0.146444	-0.165432
PF3D7_0106400	0.109135	0.154493	-0.173458
PF3D7_0106500	0.118476	0.181379	-0.160773
PF3D7_0106600	0.126827	0.205414	-0.149434
PF3D7_0106700	0.117707	0.203907	-0.147747
PF3D7_0106800	0.099931	0.191755	-0.149699
PF3D7_0106900	0.086395	0.188010	-0.152874
PF3D7_0107000	0.075867	0.194886	-0.158344
PF3D7_0107100	0.069100	0.199305	-0.161859
PF3D7_0107200	0.060638	0.204831	-0.166255
PF3D7_0107300	0.053778	0.209311	-0.169819
PF3D7_0107400	0.052195	0.193283	-0.181200
PF3D7_0107500	0.051016	0.171607	-0.195701
PF3D7_0107600	0.105475	0.164874	-0.226943
PF3D7_0107700	0.133526	0.170547	-0.235140
PF3D7_0107800	0.127577	0.154667	-0.230673
PF3D7_0107900	0.123026	0.142516	-0.227255
PF3D7_0108000	0.119409	0.132861	-0.224539
PF3D7_0108100	0.115537	0.136830	-0.219954
PF3D7_0108200	0.112194	0.170986	-0.212394
PF3D7_0108300	0.107941	0.213733	-0.203156
PF3D7_0108401	0.102792	0.193352	-0.230583
PF3D7_0108402	0.102792	0.193352	-0.230583
PF3D7_0108500	0.098680	0.177073	-0.252491
PF3D7_0108600	0.095486	0.173057	-0.258222
PF3D7_0108700	0.074177	0.174973	-0.258914
PF3D7_0108800	0.044398	0.177650	-0.259882
PF3D7_0108900	0.042316	0.188908	-0.256297
PF3D7_0109000	0.047245	0.196845	-0.253373
PF3D7_0109100	0.060023	0.217420	-0.245792
PF3D7_0109200	0.069484	0.232654	-0.240179
PF3D7_0109300	0.062157	0.236349	-0.245896
PF3D7_0109400	0.050279	0.236165	-0.254620
PF3D7_0109500	0.040744	0.236018	-0.261622
PF3D7_0109600	0.032718	0.235893	-0.267516
PF3D7_0109700	0.026444	0.235796	-0.272124
