 chr	X	Y	Z
PF3D7_0100100	chr01	0.358894	0.120871	0.107271
PF3D7_0100200	chr01	0.356576	0.083654	0.093874
PF3D7_0100300	chr01	0.366940	0.097076	0.079452
PF3D7_0100400	chr01	0.374553	0.117058	0.065022
PF3D7_0100500	chr01	0.360451	0.115275	0.071775
PF3D7_0100600	chr01	0.353052	0.114340	0.075319
PF3D7_0100700	chr01	0.337844	0.112417	0.082601
PF3D7_0100800	chr01	0.318406	0.111964	0.093615
PF3D7_0100900	chr01	0.329376	0.129016	0.101694
PF3D7_0101000	chr01	0.345833	0.154597	0.113814
PF3D7_0101100	chr01	0.361597	0.179101	0.125423
PF3D7_0101200	chr01	0.348894	0.174543	0.118853
PF3D7_0101300	chr01	0.327953	0.165099	0.107667
PF3D7_0101400	chr01	0.317759	0.160502	0.102221
PF3D7_0101500	chr01	0.298734	0.151922	0.092059
PF3D7_0101600	chr01	0.298071	0.160992	0.075961
PF3D7_0101700	chr01	0.306867	0.177171	0.060138
PF3D7_0101800	chr01	0.313294	0.188994	0.048575
PF3D7_0101900	chr01	0.315230	0.200244	0.034570
PF3D7_0102000	chr01	0.296125	0.193887	0.029544
PF3D7_0102100	chr01	0.281917	0.189159	0.025806
PF3D7_0102200	chr01	0.247708	0.178318	0.015809
PF3D7_0102300	chr01	0.239386	0.181280	0.003088
PF3D7_0102400	chr01	0.234068	0.183174	-0.005042
PF3D7_0102500	chr01	0.236977	0.174619	-0.023658
PF3D7_0102600	chr01	0.253210	0.152326	-0.049493
PF3D7_0102700	chr01	0.235825	0.133372	-0.034392
PF3D7_0102800	chr01	0.227805	0.124667	-0.027414
PF3D7_0102900	chr01	0.218195	0.114237	-0.019053
PF3D7_0103000	chr01	0.215909	0.109261	-0.032362
PF3D7_0103100	chr01	0.213987	0.103503	-0.053221
PF3D7_0103200	chr01	0.209299	0.105350	-0.066684
PF3D7_0103300	chr01	0.200618	0.124676	-0.054157
PF3D7_0103400	chr01	0.187822	0.153255	-0.036127
PF3D7_0103500	chr01	0.177225	0.181196	-0.041534
PF3D7_0103600	chr01	0.174281	0.201027	-0.055716
PF3D7_0103700	chr01	0.175969	0.210221	-0.069189
PF3D7_0103800	chr01	0.177079	0.216264	-0.078044
PF3D7_0103900	chr01	0.181387	0.196350	-0.085801
PF3D7_0104000	chr01	0.184159	0.183393	-0.090707
PF3D7_0104100	chr01	0.188377	0.163679	-0.098172
PF3D7_0104200	chr01	0.167181	0.166422	-0.095150
PF3D7_0104300	chr01	0.126266	0.161573	-0.081721
PF3D7_0104400	chr01	0.144277	0.140051	-0.093739
PF3D7_0104500	chr01	0.152011	0.137233	-0.101889
PF3D7_0104600	chr01	0.166744	0.131865	-0.117417
PF3D7_0104700	chr01	0.172871	0.120612	-0.125614
PF3D7_0104800	chr01	0.162598	0.098761	-0.119728
PF3D7_0104900	chr01	0.158170	0.089342	-0.117191
PF3D7_0105000	chr01	0.157264	0.087415	-0.116672
PF3D7_0105100	chr01	0.154643	0.085614	-0.119907
PF3D7_0105200	chr01	0.154664	0.091329	-0.127033
PF3D7_0105300	chr01	0.154692	0.099237	-0.136893
PF3D7_0105400.1	chr01	0.154711	0.104441	-0.143383
PF3D7_0105400.2	chr01	0.154711	0.104441	-0.143383
PF3D7_0105500	chr01	0.154736	0.111271	-0.151899
PF3D7_0105600	chr01	0.146180	0.118360	-0.153162
PF3D7_0105700	chr01	0.099861	0.130039	-0.141040
PF3D7_0105800	chr01	0.068523	0.134051	-0.151023
PF3D7_0105900	chr01	0.061562	0.148115	-0.142412
PF3D7_0106000	chr01	0.056007	0.159337	-0.135540
PF3D7_0106100	chr01	0.054551	0.168391	-0.132849
PF3D7_0106200	chr01	0.067878	0.159003	-0.146786
PF3D7_0106300	chr01	0.085710	0.146444	-0.165432
PF3D7_0106400	chr01	0.109135	0.154493	-0.173458
PF3D7_0106500	chr01	0.118476	0.181379	-0.160773
PF3D7_0106600	chr01	0.126827	0.205414	-0.149434
PF3D7_0106700	chr01	0.117707	0.203907	-0.147747
PF3D7_0106800	chr01	0.099931	0.191755	-0.149699
PF3D7_0106900	chr01	0.086395	0.188010	-0.152874
PF3D7_0107000	chr01	0.075867	0.194886	-0.158344
PF3D7_0107100	chr01	0.069100	0.199305	-0.161859
PF3D7_0107200	chr01	0.060638	0.204831	-0.166255
PF3D7_0107300	chr01	0.053778	0.209311	-0.169819
PF3D7_0107400	chr01	0.052195	0.193283	-0.181200
PF3D7_0107500	chr01	0.051016	0.171607	-0.195701
PF3D7_0107600	chr01	0.105475	0.164874	-0.226943
PF3D7_0107700	chr01	0.133526	0.170547	-0.235140
PF3D7_0107800	chr01	0.127577	0.154667	-0.230673
PF3D7_0107900	chr01	0.123026	0.142516	-0.227255
PF3D7_0108000	chr01	0.119409	0.132861	-0.224539
PF3D7_0108100	chr01	0.115537	0.136830	-0.219954
PF3D7_0108200	chr01	0.112194	0.170986	-0.212394
PF3D7_0108300	chr01	0.107941	0.213733	-0.203156
PF3D7_0108400.1	chr01	0.102792	0.193352	-0.230583
PF3D7_0108400.2	chr01	0.102792	0.193352	-0.230583
PF3D7_0108500	chr01	0.098680	0.177073	-0.252491
PF3D7_0108600	chr01	0.095486	0.173057	-0.258222
PF3D7_0108700	chr01	0.074177	0.174973	-0.258914
PF3D7_0108800	chr01	0.044398	0.177650	-0.259882
PF3D7_0108900	chr01	0.042316	0.188908	-0.256297
PF3D7_0109000	chr01	0.047245	0.196845	-0.253373
PF3D7_0109100	chr01	0.060023	0.217420	-0.245792
PF3D7_0109200	chr01	0.069484	0.232654	-0.240179
PF3D7_0109300	chr01	0.062157	0.236349	-0.245896
PF3D7_0109400	chr01	0.050279	0.236165	-0.254620
PF3D7_0109500	chr01	0.040744	0.236018	-0.261622
PF3D7_0109600	chr01	0.032718	0.235893	-0.267516
PF3D7_0109700	chr01	0.026444	0.235796	-0.272124
PF3D7_0109800	chr01	0.025258	0.231459	-0.279493
PF3D7_0109900.1	chr01	0.040656	0.215116	-0.293136
PF3D7_0109900.2	chr01	0.040656	0.215116	-0.293136
PF3D7_0110000	chr01	0.052483	0.202562	-0.303615
PF3D7_0110100	chr01	0.059979	0.195685	-0.309631
PF3D7_0110200	chr01	0.070078	0.201099	-0.309244
PF3D7_0110300	chr01	0.072577	0.202438	-0.309148
PF3D7_0110400	chr01	0.077269	0.204953	-0.308968
PF3D7_0110500	chr01	0.104167	0.219371	-0.307937
PF3D7_0110600	chr01	0.073307	0.245934	-0.293873
PF3D7_0110700	chr01	0.051124	0.245187	-0.308348
PF3D7_0110800	chr01	0.033309	0.238985	-0.327445
PF3D7_0110900	chr01	0.026006	0.236418	-0.335365
PF3D7_0111000	chr01	0.046887	0.236946	-0.338832
PF3D7_0111100	chr01	0.070908	0.237552	-0.342820
PF3D7_0111200	chr01	0.076558	0.237695	-0.343758
PF3D7_0111300	chr01	0.060592	0.249266	-0.336985
PF3D7_0111400	chr01	0.035429	0.267109	-0.326446
PF3D7_0111500	chr01	0.017142	0.280075	-0.318788
PF3D7_0111600	chr01	0.023501	0.275055	-0.322420
PF3D7_0111700	chr01	0.025917	0.273157	-0.323783
PF3D7_0111800	chr01	0.036420	0.264904	-0.329709
PF3D7_0111900	chr01	0.044725	0.258378	-0.334396
PF3D7_0112000	chr01	0.046933	0.261675	-0.331307
PF3D7_0112100	chr01	0.050292	0.270437	-0.323380
PF3D7_0112200	chr01	0.073043	0.289245	-0.302439
PF3D7_0112300	chr01	0.094699	0.289314	-0.289711
PF3D7_0112400	chr01	0.098915	0.288872	-0.286816
PF3D7_0112500	chr01	0.099769	0.288782	-0.286230
PF3D7_0112600	chr01	0.101422	0.288609	-0.285095
PF3D7_0112700	chr01	0.109679	0.287743	-0.279427
PF3D7_0112800	chr01	0.115906	0.282453	-0.272548
PF3D7_0112900	chr01	0.121462	0.268241	-0.261081
PF3D7_0113000	chr01	0.124062	0.261590	-0.255714
PF3D7_0113100	chr01	0.143279	0.266813	-0.231251
PF3D7_0113200	chr01	0.153336	0.267892	-0.218610
PF3D7_0113300	chr01	0.161852	0.257272	-0.206152
PF3D7_0113400	chr01	0.168451	0.249041	-0.196498
PF3D7_0113600	chr01	0.191245	0.252013	-0.161794
PF3D7_0113700	chr01	0.220385	0.261068	-0.122801
PF3D7_0113800	chr01	0.253576	0.250665	-0.121495
PF3D7_0113900	chr01	0.261741	0.235269	-0.099601
PF3D7_0114000	chr01	0.284498	0.223435	-0.086785
PF3D7_0114100	chr01	0.299390	0.220576	-0.085974
PF3D7_0114200	chr01	0.311734	0.219436	-0.083363
PF3D7_0114300	chr01	0.310743	0.225801	-0.073682
PF3D7_0114400	chr01	0.310012	0.230494	-0.066543
PF3D7_0114500	chr01	0.308241	0.241869	-0.049242
PF3D7_0114600	chr01	0.307649	0.248147	-0.038161
PF3D7_0114700	chr01	0.313966	0.238705	-0.033222
PF3D7_0114800	chr01	0.324802	0.222511	-0.024753
PF3D7_0114900	chr01	0.323066	0.232728	-0.018420
PF3D7_0115000	chr01	0.306733	0.293373	0.005369
PF3D7_0115100	chr01	0.313617	0.229515	-0.000284
PF3D7_0115200	chr01	0.316848	0.194378	-0.009979
PF3D7_0115300	chr01	0.317609	0.177686	-0.023456
PF3D7_0115400	chr01	0.318396	0.160407	-0.037406
PF3D7_0115500	chr01	0.319193	0.152162	-0.043891
PF3D7_0115600	chr01	0.321504	0.161110	-0.035564
PF3D7_0115700	chr01	0.323119	0.175056	-0.019978
